WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	11/7/2000 12:00:00 AM		m	TN_ugl	Nitrogen		1295	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	1/2/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1458	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	2/12/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1503	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/5/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1559	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	5/8/2001 12:00:00 AM		m	TN_ugl	Nitrogen		933	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	6/26/2001 12:00:00 AM		m	TN_ugl	Nitrogen		2351	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	8/13/2001 12:00:00 AM		m	TN_ugl	Nitrogen		2553	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	9/10/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1242	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	10/8/2001 12:00:00 AM		m	TN_ugl	Nitrogen		2497	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	11/6/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1166	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	12/11/2001 12:00:00 AM		m	TN_ugl	Nitrogen		1761	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	2/4/2002 12:00:00 AM		m	TN_ugl	Nitrogen		1436	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/5/2002 12:00:00 AM		m	TN_ugl	Nitrogen		1697	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	5/15/2002 12:00:00 AM		m	TN_ugl	Nitrogen		448	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	6/19/2002 12:00:00 AM		m	TN_ugl	Nitrogen		1159	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	8/7/2002 12:00:00 AM		m	TN_ugl	Nitrogen		805	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	9/4/2002 12:00:00 AM		m	TN_ugl	Nitrogen		1237	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	11/13/2002 12:00:00 AM		m	TN_ugl	Nitrogen		2295	ug/l	""	Water Institute Calculated		
